ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
Ixora,4500000000,1,1,75.0,18,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,retail-spaces,0,fully
IXORA,2600000000,1,1,45.0,18,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,retail-spaces,0,fully
9bdab5f6-dc9a-4b4a-b048-1d4597f1ce6e,11290000000,12,12,470.0,6,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,retail-spaces,0,fully
Ixora ,10700000000,1,1,136.0,18,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,retail-spaces,0,fully
Wonderland,19747000000,5,5,239.0,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,retail-spaces,0,partly
781c7918-fe90-4589-bee0-e4b46f5dfb60,11000000000,3,4,272.5,3,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,retail-spaces,0,partly
73ce0a94-7844-43f2-8a7d-785c1a998f82,9232000000,2,3,153.3,3,0,0,0,0,0,0,1,1,1,1,1,1,ba-ria-vung-tau,retail-spaces,0,unfurnished
dd19553f-d31f-4ee4-bca7-6ff647d04afd,23845000000,10,11,643.8,6,1,1,1,1,1,1,1,1,1,1,1,1,ba-ria-vung-tau,retail-spaces,0,unfurnished
44947745-631b-4da5-86a8-e25ea7d71cb9,1500000000,7,4,500.0,5,0,0,0,0,0,0,0,0,0,0,0,0,bac-ninh,retail-spaces,0,unfurnished
e3109c20-3b7d-49f7-93f4-eadf44bbab09,11000000000,0,0,210.0,0,0,0,0,0,0,0,0,0,0,0,0,0,binh-duong,retail-spaces,0,fully
8fd79a20-3cc2-40ea-be5c-eeb1509205a6,80000000000,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,binh-duong,retail-spaces,0,partly
AU01,132000000000,32,36,0,2,1,1,1,0,1,0,1,1,1,1,0,1,binh-dinh,retail-spaces,0,fully
9d06a37e-a8f7-41bd-82e7-274ddf04d381,8000000000,0,0,140.0,0,1,1,1,1,1,1,1,1,1,1,1,1,binh-dinh,retail-spaces,0,partly
84569299-c755-4882-8d62-8f66d6bc8b53,10000000000,0,0,140.0,0,1,1,1,1,1,1,1,1,1,1,1,1,binh-dinh,retail-spaces,0,partly
b4a5d079-76a8-4c6c-a92a-e519dcc8e3b3,60000000000,0,0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,binh-phuoc,retail-spaces,0,fully
EIB001,70000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,binh-phuoc,retail-spaces,0,fully
