ID,Price,Bedroom amount,Bathroom amount,Area,Floor amount,Air conditioner,BBQ,Receptionists,GYM,Garden,Library,Park,Playground,Guard,Pool,Tennis court,Wifi,Location,Type,Near transport,Furnished
65d66023-ba10-4083-9a0e-ce789a124c74,178000000000,0,0,175.0,9,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,offices,0,fully
0f36d737-6299-45fc-87b7-fa01bb213b9c,13500000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,offices,0,fully
2241fe00-f04a-41d2-beac-45a54d24b352,580000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,offices,0,fully
998503fa-2d89-4069-8e81-38895fe43987,2300000000,1,1,47.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,offices,0,partly
Grade A Office for sales @Metropole Thu Thiem Dist,279000000000,0,0,1650.0,0,1,1,0,1,1,1,1,1,1,1,1,1,ho-chi-minh,offices,0,unfurnished
d6693462-a9f8-41ff-99f4-4704d4239015,130000000000,0,0,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,offices,0,
e4e19a04-5d05-41ec-b61e-b12f50e80b5b,80000000000,0,0,225.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,offices,0,
53091b39-fbcd-4001-b8fe-43c48fa6f04e,42000000000,0,0,136.0,5,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,offices,0,
98260739-063e-4aac-9e45-b7e2b2e572b2,585000000000,0,0,448.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,offices,0,
70862,53000000000,0,0,315.0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,offices,0,
d3d380e6-83a3-4062-a853-4011a586186c,130000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ho-chi-minh,offices,0,
affd1d51-2060-4f19-b5e0-70c4ad715d61,100000000000,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,ho-chi-minh,offices,0,
